level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
987,988,NGC 458,17.625,187.24,13.2419,281.093,75.1522,88.5
988,989,PGC 41099,16.5,187.24,11.9556,282.677,73.9369,-9.9
989,990,PGC 41098,16.5,187.242,12.6617,281.845,74.6061,-9.9
990,991,LLH2012 3,16.5,187.246,12.0417,282.598,74.0204,-9.9
991,992,PGC 41097,16.5,187.246,12.9083,281.55,74.8402,-9.9
992,993,LLH2012 4,16.5,187.248,11.9231,282.739,73.9084,-9.9
993,994,PGC 41102,16.5,187.249,12.6483,281.886,74.5957,-9.9
994,995,NGC 459,16.867,187.25,13.9783,280.108,75.8461,158.1
995,996,PGC 41108,16.5,187.258,12.4342,282.179,74.3961,-9.9
996,997,NGC 461,14.4,187.262,13.1839,281.252,75.1051,127.6
997,998,PGC 41118,16.5,187.271,12.1536,282.554,74.1343,-9.9
998,999,PGC 41117,16.5,187.272,12.0306,282.7,74.018,-9.9
999,0,LLH2012 5,16.5,187.288,12.4964,282.207,74.4645,-9.9
1000,1,PGC 41136,16.5,187.312,12.9783,281.692,74.9274,-9.9
1001,2,PGC 41146,16.5,187.33,12.3769,282.493,74.3643,-9.9
1002,3,NGC 464,15.689,187.339,8.15667,286.505,70.3209,132.1
1003,4,LLH2012 6,16.5,187.34,12.4678,282.418,74.4534,-9.9
1004,5,IC 3413,18.7,187.344,11.4339,283.593,73.4717,32.1
1005,6,PGC 41156,17.283,187.348,12.4508,282.467,74.44,-9.9
1006,7,PGC 41167,16.5,187.37,12.4961,282.488,74.4896,-9.9
1008,9,LLH2012 7,16.5,187.38,12.57,282.437,74.563,-9.9
1009,10,AGC 223724,16.5,187.39,13.1961,281.692,75.1582,-9.9
1011,12,PGC 41182,16.5,187.398,13.2111,281.702,75.175,-9.9
1012,13,LLH2012 8,16.5,187.399,12.7519,282.283,74.7412,-9.9
1013,14,PGC 41195,16.5,187.413,12.5483,282.578,74.5527,-9.9
1014,15,PGC 41203,16.5,187.422,12.0464,283.188,74.0785,-9.9
1015,16,LLH2012 9,16.5,187.423,12.4992,282.669,74.509,-9.9
1016,17,,16.5,187.43,12.6553,282.508,74.6593,-9.9
1017,18,PGC 41209,16.5,187.434,12.8056,282.339,74.8028,-9.9
1019,20,PGC 41224,16.5,187.447,13.0761,282.048,75.0629,-9.9
1020,21,LLH2012 1,16.5,187.449,12.5717,282.673,74.5858,-9.9
1021,22,NGC 473,16.348,187.454,13.4294,281.617,75.3988,186.6
1022,23,NGC 474,16.1,187.473,14.0686,280.811,76.0065,85.1
1023,24,LLH2012 2,16.5,187.474,12.6217,282.703,74.6411,-9.9
1024,25,PGC 41245,16.5,187.485,13.22,282.001,75.211,-9.9
1025,26,NGC 476,18.569,187.496,12.3486,283.099,74.3884,75.9
1026,27,PGC 41257,16.5,187.505,13.1178,282.203,75.1207,-9.9
1027,28,LLH2012 3,16.5,187.507,12.9483,282.424,74.9611,-9.9
1028,29,NGC 477,19.45,187.509,13.6367,281.544,75.6122,148.9
1029,30,LLH2012 4,16.5,187.518,12.51,282.988,74.5485,-9.9
1030,31,PGC 41264,28.65,187.521,8.07333,287.086,70.2853,31.0
1031,32,PGC 41268,16.5,187.525,12.3772,283.167,74.4244,-9.9
1032,33,LLH2012 5,16.5,187.526,12.6883,282.804,74.7202,-9.9
1033,34,LLH2012 6,16.5,187.533,12.3889,283.179,74.4377,-9.9
1034,35,NGC 482,35.1,187.543,10.7794,284.897,72.9023,44.3
1035,36,PGC 41273,16.5,187.545,12.1956,283.441,74.2574,-9.9
1036,37,PGC 41287,16.5,187.564,12.5158,283.141,74.5679,-9.9
1037,38,PGC 41299,16.5,187.572,12.2422,283.481,74.3098,-9.9
1038,39,NGC 478,16.586,187.572,12.3286,283.385,74.3922,138.0
1039,40,PGC 41300,16.5,187.574,12.0422,283.71,74.1197,-9.9
1040,41,PGC 41304,16.5,187.576,12.5708,283.12,74.6239,-9.9
1041,42,NGC 479,18.36,187.577,13.5778,281.872,75.5784,-9.9
1042,43,LLH2012 7,16.5,187.6,12.4358,283.357,74.5024,-9.9
1043,44,PGC 41312,16.5,187.602,12.7931,282.95,74.8431,-9.9
1044,45,LLH2012 8,16.5,187.617,12.9819,282.776,75.027,-9.9
1045,46,LLH2012 9,16.5,187.627,13.0942,282.671,75.1363,-9.9
1046,47,NGC 486,15.278,187.633,12.4903,283.412,74.5643,217.9
1048,49,LLH2012 1,16.5,187.634,12.8642,282.977,74.9203,-9.9
1049,50,PGC 41329,16.5,187.639,12.9008,282.951,74.9566,-9.9
1051,52,LLH2012 2,16.5,187.646,13.1894,282.622,75.2326,-9.9
1052,53,IC 3435,18.991,187.666,15.1297,279.955,77.0654,44.8
1053,54,LLH2012 3,16.5,187.668,12.6217,283.384,74.6998,-9.9
1054,55,NGC 483,16.9,187.669,9.01556,286.807,71.2344,87.3
1055,56,IC 3437,16.5,187.691,11.3433,284.831,73.4843,33.2
1056,57,PGC 169451,16.5,187.693,12.0992,284.055,74.2087,-9.9
1057,58,PGC 41351,16.5,187.695,13.2142,282.771,75.2713,-9.9
1059,60,AGC 220704,16.9,187.702,12.045,284.144,74.1594,-9.9
1060,61,PGC 41358,16.5,187.704,13.2239,282.791,75.2832,-9.9
1062,63,PGC 41362,16.5,187.711,12.7367,283.401,74.822,-9.9
1063,64,NGC 489,15.429,187.717,16.7589,277.222,78.5905,67.9
1064,65,NGC 486,16.65,187.74,12.2703,284.031,74.3858,123.3
1066,67,PGC 41394,16.5,187.764,12.0781,284.32,74.2086,-9.9
1067,68,LLH2012 6,16.5,187.771,12.4942,283.891,74.6085,-9.9
1068,69,IC 3443,16.5,187.815,12.3317,284.225,74.466,-9.9
1069,70,IC 3445,16.5,187.831,12.7381,283.826,74.8587,-9.9
1070,71,PGC 41433,16.5,187.832,12.6117,283.972,74.7382,-9.9
1071,72,IC 3442,16.5,187.834,14.1153,282.118,76.1681,25.9
1072,73,NGC 494,13.948,187.85,25.7753,228.593,85.3161,150.0
1073,74,PGC 41479,16.5,187.934,12.6125,284.333,74.7683,-9.9
1074,75,IC 3457,16.5,187.964,12.6569,284.391,74.8193,30.7
1075,76,PGC 41495,16.5,187.967,12.4819,284.593,74.6526,-9.9
1076,77,PGC 41516,16.5,188.003,12.6203,284.571,74.7952,-9.9
1077,78,IC 3461,21.1,188.011,11.89,285.365,74.0966,20.3
1078,79,LLH2012 7,16.5,188.02,12.395,284.874,74.584,-9.9
1079,80,NGC 503,15.7,188.026,11.1764,286.099,73.4131,134.3
1080,81,PGC 41539,16.5,188.032,12.4342,284.875,74.625,-9.9
1081,82,PGC 41545,16.5,188.047,12.5069,284.851,74.6989,-9.9
1082,83,IC 3468,16.37,188.059,10.2514,287.014,72.5271,-9.9
1083,84,IC 3470,22.2,188.097,11.2631,286.258,73.5151,31.9
1084,85,IC 798,19.4,188.139,15.4153,281.444,77.4923,32.4
1085,86,PGC 41588,16.5,188.144,12.6369,285.058,74.8503,-9.9
1086,87,IC 3475,16.5,188.171,12.7711,285.009,74.9864,-9.9
1087,88,IC 3478,17.729,188.184,14.1961,283.366,76.3523,52.4
1088,89,NGC 521,39.7,188.198,63.9392,126.338,53.0656,185.8
1089,90,PGC 41640,16.5,188.23,12.635,285.369,74.8718,-9.9
1090,91,NGC 515,17.65,188.271,16.2656,280.61,78.3341,77.0
1091,92,IC 3487,18.74,188.306,9.39722,288.444,71.7547,28.9
1092,93,IC 3490,18.98,188.308,10.9286,287.252,73.2437,-9.9
1093,94,PGC 41689,16.5,188.32,12.5817,285.748,74.8444,-9.9
1094,95,IC 3492,22.82,188.332,12.8533,285.508,75.1091,-9.9
1095,96,PGC 41723,18.35,188.394,11.2619,287.253,73.5876,-9.9
1096,97,IC 3501,16.5,188.465,13.3225,285.491,75.5957,35.6
1097,98,NGC 526,15.301,188.513,7.69944,290.16,70.1389,208.9
1098,99,NGC 528,17.25,188.525,11.3214,287.645,73.6765,101.6
1099,100,IC 3506,16.286,188.528,12.7417,286.337,75.0523,-9.9
1100,101,IC 3509,17.743,188.548,12.0489,287.078,74.3874,-9.9
1101,102,IC 3510,15.3,188.562,11.0714,287.976,73.442,47.0
1102,103,IC 3519,16.5,188.66,15.6028,283.382,77.8322,26.0
1103,104,NGC 546,18.1,188.873,-3.79306,295.227,58.8399,187.9
1104,105,NGC 550,16.321,188.877,12.2208,288.094,74.6319,115.3
1105,106,PGC 41959,15.6,188.905,12.3819,288.05,74.7948,38.7
1106,107,NGC 551,17.817,188.908,12.2639,288.165,74.6807,93.5
1107,108,M89,15.673,188.916,12.5564,287.932,74.9668,224.4
1108,109,PGC 42046,18.1,189.103,10.3847,290.283,72.8864,-9.9
1109,110,NGC 564,16.229,189.112,11.4392,289.561,73.9206,154.5
1110,111,IC 3578,16.74,189.164,11.1019,289.987,73.6011,36.7
1111,112,NGC 570,16.582,189.222,7.24667,292.421,69.821,167.1
1112,113,IC 3586,16.5,189.228,12.52,289.111,75.0006,28.0
1113,114,NGC 589,30.371,189.354,74.1919,124.235,42.9008,202.2
1114,115,NGC 578,17.7,189.377,9.555,291.681,72.1218,106.7
1115,116,PGC 42205,17.6,189.528,10.0822,291.861,72.6669,-9.9
1116,117,IC 3612,14.7,189.77,14.7311,289.244,77.2732,-9.9
1117,118,IC 3631,42.8,189.95,12.9739,291.471,75.586,35.6
1118,119,NGC 596,16.8,189.983,10.1761,293.298,72.8323,125.6
1119,120,IC 3633,16.25,190.047,9.89611,293.647,72.5647,22.3
1120,121,IC 3635,15.619,190.056,12.8747,291.948,75.5068,-9.9
1121,122,PGC 42442,17.883,190.082,15.9353,289.4,78.5141,-9.9
1122,123,IC 3647,16.5,190.221,10.4753,293.942,73.1626,-9.9
1123,124,IC 3652,20.65,190.244,11.1844,293.66,73.8675,24.4
1124,125,NGC 608,19.88,190.305,10.1556,294.374,72.8573,109.6
1125,126,IC 3653,15.157,190.315,11.3872,293.805,74.0784,-9.9
1126,127,IC 804,40.7,190.317,-5.00917,298.179,57.7687,102.1
1127,128,IC 3658,16.5,190.336,14.7006,291.716,77.3519,26.7
1128,129,NGC 612,17.627,190.386,7.315,295.726,70.0482,86.1
1129,130,IC 3663,11.648,190.414,12.2475,293.696,74.9436,-9.9
1130,131,UGC 854,15.129,190.467,9.40278,295.217,72.131,31.3
1131,132,M59,15.686,190.509,11.6469,294.363,74.3621,197.7
1132,133,IC 809,15.85,190.536,11.7542,294.405,74.4718,23.8
1133,134,IC 810,15.757,190.538,12.5967,293.965,75.3065,37.0
1134,135,NGC 623,16.8,190.545,7.67694,296.07,70.4252,76.6
1135,136,NGC 638,16.706,190.697,11.4425,295.135,74.1832,136.1
1136,137,NGC 636,16.15,190.707,2.68778,297.748,65.4728,181.6
1137,138,PGC 42748,16.74,190.735,3.67667,297.616,66.4606,36.0
1138,139,IC 3693,16.9,190.742,10.6819,295.615,73.4332,-9.9
1139,140,NGC 643,25.7,190.834,1.97833,298.177,64.7752,148.3
1140,141,M60,16.633,190.917,11.5528,295.873,74.3179,267.9
1141,142,PGC 42884,16.55,191.05,12.9419,295.768,75.7129,-9.9
1142,143,NGC 660,15.57,191.133,11.1906,296.785,73.9798,183.2
1143,144,NGC 624,17.9,191.275,3.05583,299.058,65.8799,123.0
1144,145,IC 3735,15.214,191.335,13.6928,296.58,76.4893,-9.9
1145,146,IC 3773,17.417,191.814,10.2036,299.4,73.0467,-9.9
1146,147,NGC 684,19.3,191.823,-2.7275,300.853,60.1275,70.3
1147,148,IC 3779,17.233,191.836,12.1664,299.061,75.0074,-9.9
1148,149,NGC 690,40.2,191.981,-1.65611,301.109,61.2032,97.9
1149,150,NGC 694,15.302,192.063,10.9836,300.122,73.838,53.5
1155,156,MHM2009 6,45.29,192.136,-41.595,302.351,21.2735,-9.9
1157,158,NGC 697,12.311,192.15,-5.80083,301.633,57.0638,169.4
1158,159,PGC 575633,55.7,192.15,-41.4397,302.361,21.4289,-9.9
1168,169,MHM2009 7,45.29,192.177,-41.6144,302.384,21.2544,-9.9
1170,171,MHM2009 9,45.29,192.188,-41.6158,302.394,21.2531,-9.9
1171,172,,45.29,192.19,-41.5053,302.393,21.3637,-9.9
1174,175,MHM2009 3,45.29,192.197,-41.435,302.399,21.434,-9.9
1178,179,MHM2009 2,45.29,192.218,-41.4539,302.415,21.4153,-9.9
1179,180,PGC 2798844,45.3,192.219,-41.5403,302.417,21.3289,-9.9
1181,182,MHM2009 2,45.29,192.247,-41.5053,302.439,21.3641,-9.9
1182,183,,45.29,192.248,-41.5339,302.44,21.3355,-9.9
1184,185,MHM2009 5,45.29,192.256,-41.505,302.447,21.3645,-9.9
1187,188,MHM2009 4,45.29,192.261,-41.6181,302.452,21.2515,-9.9
1198,199,MHM2009 4,45.29,192.337,-41.2864,302.51,21.5836,-9.9
1199,200,PGC 2798856,45.29,192.345,-41.2553,302.516,21.6148,-9.9
1200,201,MHM2009 5,45.29,192.352,-41.2542,302.522,21.616,-9.9
1201,202,MHM2009 3,45.29,192.354,-41.3072,302.524,21.5629,-9.9
1202,203,MHM2009 1,45.29,192.383,-41.2886,302.547,21.5817,-9.9
1203,204,MHM2009 5,45.29,192.385,-41.34,302.549,21.5303,-9.9
1204,205,,45.29,192.387,-41.3233,302.551,21.547,-9.9
1205,206,,45.29,192.392,-41.3767,302.555,21.4937,-9.9
1206,207,MHM2009 9,45.29,192.4,-41.3519,302.561,21.5185,-9.9
1207,208,PGC 43374,40.775,192.407,-41.3881,302.568,21.4824,-9.9
1208,209,MHM2009 2,45.29,192.409,-41.3989,302.569,21.4716,-9.9
1209,210,NGC 710,16.8,192.412,15.1656,300.848,78.0301,104.7
1210,211,MHM2009 9,45.29,192.412,-41.2778,302.57,21.5927,-9.9
1211,212,MHM2009 1,45.29,192.414,-41.2058,302.571,21.6647,-9.9
1212,213,PGC 43379,37.7,192.417,-41.3661,302.575,21.5044,-9.9
1213,214,MHM2009 8,45.29,192.419,-41.3514,302.577,21.5191,-9.9
1214,215,MHM2009 7,45.29,192.423,-41.3097,302.579,21.5608,-9.9
1215,216,PGC 43384,45.29,192.425,-41.2294,302.58,21.6411,-9.9
1216,217,MHM2009 9,45.29,192.425,-41.3592,302.581,21.5114,-9.9
1217,218,AGC 221044,97.423,192.426,26.8919,244.31,89.5474,-9.9
1218,219,MHM2009 5,45.29,192.428,-41.2203,302.583,21.6503,-9.9
1219,220,,45.29,192.441,-41.2481,302.594,21.6226,-9.9
1220,221,MHM2009 3,45.29,192.442,-41.2989,302.594,21.5718,-9.9
1221,222,PGC 2798867,46.3,192.444,-41.3689,302.597,21.5018,-9.9
1222,223,,45.29,192.45,-41.3678,302.601,21.5029,-9.9
1223,224,PGC 2798869,45.29,192.452,-41.2386,302.603,21.6321,-9.9
1224,225,PGC 43402,38.75,192.465,-41.2261,302.613,21.6447,-9.9
1225,226,NGC 706,45.9,192.475,-41.2794,302.622,21.5914,-9.9
1226,227,PGC 576636,51.1,192.475,-41.3394,302.622,21.5314,-9.9
1227,228,MHM2009 7,45.29,192.478,-41.3169,302.624,21.5539,-9.9
1228,229,PGC 576005,37.3,192.483,-41.4011,302.629,21.4698,-9.9
1229,230,PGC 2798871,50.0,192.484,-41.3897,302.629,21.4811,-9.9
1230,231,MHM2009 9,45.29,192.484,-41.2822,302.628,21.5886,-9.9
1231,232,PGC 43412,44.5,192.485,-41.2603,302.629,21.6106,-9.9
1232,233,NGC 715,18.5,192.491,27.8225,148.048,89.2327,-9.9
1233,234,MHM2009 9,45.29,192.491,-41.3231,302.635,21.5478,-9.9
1234,235,MHM2009 4,45.29,192.492,-41.2533,302.634,21.6176,-9.9
1235,236,MHM2009 3,45.29,192.498,-41.3378,302.64,21.5332,-9.9
1236,237,MHM2009 3,45.29,192.504,-41.3189,302.645,21.5521,-9.9
1237,238,MHM2009 2,45.29,192.504,-41.3592,302.645,21.5118,-9.9
1238,239,MHM2009 4,45.29,192.51,-41.2133,302.649,21.6576,-9.9
1239,240,,45.29,192.511,-41.3306,302.651,21.5404,-9.9
1240,241,MHM2009 8,45.29,192.516,-41.1936,302.654,21.6774,-9.9
1241,242,NGC 709,39.507,192.516,-41.3819,302.655,21.4891,-9.9
1242,243,MHM2009 7,45.29,192.521,-41.2108,302.658,21.6602,-9.9
1243,244,MHM2009 5,45.29,192.527,-41.2278,302.663,21.6433,-9.9
1244,245,PGC 43427,45.29,192.532,-41.3981,302.668,21.473,-9.9
1245,246,AGC 221739,97.423,192.556,26.7761,265.316,89.5559,-9.9
1246,247,PGC 43436,16.74,192.56,10.54,301.901,73.4093,48.3
1247,248,AGC 221741,97.423,192.611,26.7089,275.012,89.5256,-9.9
1248,249,AGC 221057,94.333,192.725,27.8419,132.391,89.2764,-9.9
1249,250,AGC 221585,38.93,192.773,27.805,129.356,89.3189,-9.9
1250,251,NGC 733,16.1,192.778,10.9119,302.647,73.7835,52.1
1251,252,NGC 742,15.042,192.95,-10.4547,303.078,52.4169,93.3
1252,253,NGC 754,17.333,193.073,11.3139,303.7,74.1844,160.0
1253,254,NGC 753,17.61,193.092,-1.19972,303.422,61.6711,174.2
1254,255,AGC 221742,97.423,193.171,26.3658,323.063,89.1883,-9.9
1255,256,IC 831,97.423,193.184,26.4703,326.75,89.2812,-9.9
1256,257,NGC 762,20.517,193.233,11.2308,304.27,74.0987,133.7
1257,258,AGC 221744,97.423,193.263,26.4767,331.95,89.2555,-9.9
1258,259,IC 832,97.423,193.496,26.4442,342.801,89.1106,175.3
1259,260,NGC 787,97.423,193.523,27.0686,27.3168,89.4064,-9.9
1260,261,NGC 789,98.875,193.579,27.0681,27.7283,89.3565,-9.9
1261,262,NGC 798,95.55,193.73,27.4128,53.3202,89.1756,169.0
1262,263,NGC 807,94.4,193.871,27.5214,56.7864,89.0189,227.0
1263,264,AGC 221118,97.423,193.885,27.525,56.6984,89.0063,-9.9
1264,265,NGC 803,39.4,193.89,8.24028,306.081,71.0868,105.4
1265,266,IC 3900,97.423,193.922,27.2508,40.5639,89.0469,-9.9
1266,267,AGC 221746,97.423,193.989,27.905,70.9774,88.7323,-9.9
1267,268,AGC 221123,97.423,194.025,27.6781,61.1746,88.8279,-9.9
1268,269,AGC 221124,97.423,194.027,27.6481,59.8363,88.8406,-9.9
1269,270,AGC 221747,90.901,194.037,26.3167,355.534,88.6718,-9.9
1270,271,NGC 816,3.7,194.05,27.7456,63.4913,88.776,231.1
1271,272,AGC 221748,97.423,194.061,27.5064,52.7144,88.8676,-9.9
1272,273,AGC 221749,97.423,194.07,27.4461,49.6743,88.8786,-9.9
1273,274,IC 834,97.423,194.077,26.3589,357.935,88.6677,-9.9
1274,275,AGC 221128,97.423,194.082,27.7511,63.0615,88.7486,-9.9
1275,276,AGC 221750,97.423,194.11,27.7272,61.5796,88.7391,-9.9
1276,277,AGC 221134,97.423,194.111,27.8306,65.5372,88.6863,-9.9
1277,278,NGC 821,97.423,194.121,26.9569,24.552,88.8632,169.0
1278,279,NGC 817,97.423,194.124,27.94,69.1215,88.6156,-9.9
1279,280,AGC 221751,97.423,194.133,27.0556,29.5544,88.8636,-9.9
1280,281,AGC 221135,97.423,194.142,27.5389,53.0388,88.7885,84.0
1281,282,AGC 221753,97.423,194.144,27.2275,38.1884,88.8529,44.0
1282,283,NGC 827,16.5,194.181,27.1786,35.6853,88.8228,290.0
1283,284,AGC 221145,97.423,194.199,27.4211,47.0557,88.7738,-9.9
1284,285,AGC 221147,5.0,194.207,27.0939,31.5976,88.8003,-9.9
1285,286,AGC 221151,97.423,194.213,26.8989,22.4696,88.7726,-9.9
1286,287,AGC 221154,97.423,194.236,28.6233,84.114,88.0725,-9.9
1287,288,AGC 221155,97.423,194.252,29.0539,90.7118,87.7157,-9.9
1288,289,AGC 221752,97.423,194.257,27.3722,44.3603,88.7338,-9.9
1289,290,AGC 221158,97.423,194.268,27.5258,50.8818,88.6871,42.0
1290,291,AGC 221158,97.423,194.268,27.5258,50.8818,88.6871,-9.9
1291,292,AGC 221164,97.423,194.289,27.4664,48.1628,88.6853,-9.9
1292,293,Canes_Venatici_,0.152,194.292,34.3208,113.579,82.7031,3.7
1293,294,AGC 221162,97.423,194.295,27.405,45.5005,88.6947,-9.9
1294,295,UGC 069,9.0,194.297,29.045,89.7677,87.7015,-9.9
1295,296,AGC 221167,97.423,194.324,27.8108,60.9787,88.5321,-9.9
1296,297,AGC 221168,97.423,194.34,27.8803,63.0639,88.4864,-9.9
1297,298,NGC 839,97.423,194.351,27.4978,48.8513,88.624,245.0
1298,299,AGC 221172,97.423,194.357,27.5461,50.7077,88.6052,-9.9
1299,300,UGC 071,97.423,194.375,28.1881,71.5733,88.2897,-9.9
1300,301,NGC 841,90.6,194.383,28.4769,78.3087,88.0935,-9.9
1301,302,NGC 840,97.423,194.387,27.6103,52.8478,88.5607,216.6
1302,303,NGC 841,97.267,194.391,28.4822,78.2669,88.0846,-9.9
1303,304,NGC 842,97.423,194.399,27.4933,48.226,88.5841,207.0
1304,305,AGC 221181,97.423,194.429,26.8525,22.1362,88.5744,-9.9
1305,306,AGC 221757,97.423,194.446,29.1494,88.616,87.542,-9.9
1306,307,AGC 221185,97.423,194.447,27.8333,59.8892,88.4249,-9.9
1307,308,AGC 221186,97.423,194.45,27.8831,61.44,88.3997,-9.9
1308,309,AGC 221188,97.423,194.452,28.1806,70.0137,88.2398,-9.9
1309,310,AGC 221190,97.423,194.461,27.8794,61.1731,88.3932,-9.9
1310,311,AGC 221193,97.423,194.475,28.4997,77.1392,88.0198,-9.9
1311,312,UGC 080,97.423,194.51,26.8594,22.9493,88.5049,-9.9
1312,313,AGC 221200,97.423,194.513,26.9161,25.1145,88.5115,-9.9
1313,314,AGC 221203,97.423,194.515,27.815,58.3757,88.3789,-9.9
1314,315,AGC 221758,97.423,194.547,27.94,61.7917,88.2973,-9.9
1315,316,NGC 849,98.65,194.553,26.3969,7.50395,88.3204,215.0
1316,317,AGC 221208,97.423,194.555,28.9481,83.8881,87.6437,-9.9
1317,318,AGC 221210,97.423,194.557,28.1825,68.3521,88.1633,-9.9
1318,319,IC 839,97.423,194.562,28.1258,66.7953,88.1912,-9.9
1319,320,GMP 1,97.423,194.564,27.4647,45.8476,88.4486,22.0
1320,321,AGC 221216,97.423,194.576,29.1281,86.2111,87.492,140.0
1321,322,PGC 44433,40.1,194.578,13.3914,309.943,76.1695,122.2
1322,323,,97.423,194.585,27.4294,44.4351,88.4367,38.0
1323,324,NGC 850,97.423,194.591,27.9678,62.0045,88.2504,155.8
1324,325,AGC 221223,97.423,194.618,27.5594,48.7638,88.3793,-9.9
1325,326,AGC 221226,97.423,194.626,28.0147,62.8554,88.2008,-9.9
1326,327,GMP 5,97.423,194.632,27.395,42.9476,88.4022,7.0
1327,328,AGC 221230,97.423,194.633,28.0497,63.7216,88.1781,-9.9
1328,329,NGC 853,97.423,194.647,27.5964,49.7742,88.3452,-9.9
1329,330,IC 3943,97.423,194.651,28.1136,65.1716,88.1315,-9.9
1330,331,AGC 221235,97.423,194.655,27.1761,35.057,88.4013,42.0
1331,332,AGC 221238,97.423,194.66,27.5442,47.9203,88.3474,-9.9
1332,333,PGC 126815,97.423,194.69,27.7539,54.4185,88.2595,26.0
1333,334,NGC 854,13.7,194.697,27.6747,51.8684,88.2792,-9.9
1334,335,IC 3946,97.423,194.703,27.8103,55.9907,88.2279,-9.9
1335,336,AGC 221247,97.423,194.711,28.0839,63.5736,88.1011,-9.9
1336,337,IC 3947,97.423,194.717,27.785,55.0819,88.2256,-9.9
1337,338,AGC 221252,94.4,194.73,27.9647,60.1269,88.1426,161.0
1338,339,AGC 221256,3.0,194.75,27.9675,59.9585,88.1252,83.0
1339,340,NGC 859,97.423,194.757,26.8156,22.8901,88.2798,233.0
1340,341,AGC 221257,97.423,194.757,28.2253,66.5008,87.9929,-9.9
1341,342,NGC 860,97.267,194.766,28.1236,63.8773,88.0392,280.5
1343,344,PGC 93696,97.423,194.77,28.0503,61.9411,88.072,58.0
1344,345,IC 3955,3.0,194.775,27.9967,60.4578,88.0927,153.0
1345,346,IC 3957,97.267,194.781,27.7678,53.9287,88.1786,149.0
1347,348,IC 3959,97.267,194.784,27.7842,54.3829,88.1705,226.1
1348,349,GMP 7,97.423,194.789,28.0408,61.4592,88.0615,77.0
1349,350,PGC 126800,97.423,194.798,28.0092,60.5202,88.0691,64.0
1351,352,IC 3963,97.423,194.806,27.7747,53.895,88.1555,130.3
1352,353,AGC 221276,97.423,194.808,28.0761,62.1453,88.0303,46.0
1354,355,NGC 865,66.197,194.833,28.0844,62.0555,88.0069,249.7
1358,359,AGC 221289,97.423,194.854,27.7389,52.4235,88.1277,-9.9
1363,364,GMP 8,97.423,194.869,28.0192,59.9695,88.0086,26.0
1364,365,AGC 221295,97.423,194.87,28.0406,60.5101,87.9984,-9.9
1367,368,GMP 6,97.423,194.876,28.0208,59.9335,88.0022,36.0
1368,369,AGC 221299,97.423,194.877,27.7914,53.7164,88.0905,-9.9
1370,371,AGC 221302,97.423,194.881,28.0467,60.5389,87.9868,-9.9
1375,376,GMP 2,97.423,194.904,28.0186,59.565,87.9807,31.0
1378,379,PGC 44635,97.423,194.908,28.0011,59.0711,87.9849,40.0
1383,384,GMP 3,97.423,194.926,28.0331,59.6931,87.9569,22.0
1384,385,AGC 221329,94.4,194.932,27.9947,58.6563,87.9686,139.0
1385,386,GMP 9,97.423,194.934,28.0131,59.1065,87.9595,30.0
1389,390,IC 3998,97.423,194.945,27.9739,57.9883,87.9668,143.0
1390,391,GMP 6,97.423,194.945,27.9919,58.447,87.9591,38.0
1391,392,AGC 221335,97.423,194.946,27.7103,50.8538,88.0584,-9.9
1392,393,GMP 6,97.423,194.952,27.9828,58.1401,87.9571,38.0
1393,394,GMP 1,97.423,194.955,27.9761,57.9483,87.9582,59.0
1396,397,GMP 9,97.423,194.965,27.9931,58.2792,87.9432,37.0
1397,398,GMP 8,97.423,194.975,27.9706,57.6063,87.9443,33.0
1398,399,AGC 221343,94.4,194.98,28.1283,61.4524,87.8721,-9.9
1399,400,PGC 126776,97.423,194.982,27.9178,56.1745,87.9588,9.0
1400,401,NGC 883,97.423,194.983,28.0347,59.133,87.9107,157.9
1401,402,PGC 44675,97.423,194.986,27.93,56.4558,87.9511,106.0
1402,403,NGC 881,97.423,194.99,28.2475,64.1032,87.8065,-9.9
1403,404,PGC 44692,97.423,194.998,27.9406,56.613,87.9372,170.0
1404,405,PGC 44693,97.423,195.004,27.9456,56.6817,87.9301,59.0
1405,406,GMP 8,97.423,195.004,27.9917,57.8488,87.9119,38.0
1406,407,NGC 886,94.4,195.018,27.9875,57.6062,87.9021,150.0
1407,408,PGC 44707,97.423,195.022,28.0244,58.4824,87.8837,60.0
1408,409,PGC 44710,97.423,195.026,27.6853,49.5786,87.9974,-9.9
1409,410,AGC 221357,97.423,195.026,27.7758,52.0424,87.9711,-9.9
1410,411,IC 4011,94.4,195.027,28.0042,57.9403,87.8886,126.0
1411,412,IC 4012,94.4,195.03,27.9308,56.0698,87.915,185.0
1412,413,NGC 889,97.681,195.034,27.9769,57.1944,87.8938,343.7
1413,414,NGC 895,94.4,195.038,28.1703,61.8033,87.807,149.0
1414,415,AGC 221367,97.423,195.043,27.595,46.9631,88.0051,-9.9
1415,416,GMP 9,97.423,195.046,28.0653,59.2395,87.8474,44.0
1416,417,GMP 7,97.423,195.047,27.91,55.3778,87.908,29.0
1417,418,AGC 221372,97.423,195.053,28.0756,59.415,87.8374,123.0
1418,419,IC 4021,97.267,195.061,28.0414,58.5146,87.8455,168.0
1419,420,NGC 894,65.268,195.069,27.9675,56.6329,87.869,-9.9
1420,421,GMP 8,97.423,195.07,27.9044,55.0362,87.8912,69.0
1421,422,PGC 44740,97.423,195.071,28.0639,58.9619,87.8284,129.0
